condition,MSc,age,female,nonUS,sensScale,MScIfControl,MScIfScared,sample,badRand,MScBadRand,Block,Select
0,23,55,0,0,-0.72,23,16,1,0,23,NA,0
1,20,28,0,0,2.33,29,20,1,0,29,NA,0
0,22,67,0,1,1.51,22,21,1,1,21,NA,0
0,33,33,0,0,1.31,33,26,1,0,33,NA,0
0,23,58,1,1,0.34,23,21,1,1,21,NA,0
1,16,52,0,0,0.72,20,16,1,0,20,NA,0
1,10,58,0,0,1.24,16,10,1,0,16,NA,0
0,31,42,0,1,0.19,31,31,1,0,31,NA,0
1,24,41,0,1,-0.3,26,24,1,1,24,NA,0
1,26,44,1,0,-0.27,22,26,1,0,22,NA,0
1,19,62,1,0,0.71,19,19,1,0,19,NA,0
1,37,58,1,1,-0.45,38,37,1,0,38,NA,0
0,28,56,1,0,1.83,28,21,1,0,28,NA,0
1,33,39,1,1,-2.5,29,33,1,1,33,NA,0
1,5,82,0,1,-2.33,0,5,1,1,5,NA,0
1,36,34,0,0,-0.81,32,36,1,1,36,NA,0
0,5,59,1,0,-1.35,5,8,1,1,8,NA,0
1,16,69,1,1,1.01,19,16,1,1,16,NA,0
0,17,50,1,1,-1.6,17,24,1,0,17,NA,0
1,29,49,1,0,-0.96,29,29,1,1,29,NA,0
0,23,57,1,1,0.38,23,22,1,1,22,NA,0
1,33,70,1,1,-0.37,29,33,1,0,29,NA,0
1,13,44,0,0,-0.37,16,13,1,1,13,2,0
0,20,51,1,0,1.62,20,13,1,0,20,NA,0
1,32,70,1,1,0.97,31,32,1,0,31,NA,0
1,14,42,0,0,-1.18,12,14,1,1,14,NA,0
0,18,72,0,1,-2.43,18,25,1,1,25,NA,0
1,9,63,0,0,1.22,14,9,1,0,14,NA,0
0,22,73,0,0,-0.35,22,23,1,0,22,NA,0
1,24,48,1,0,0.84,28,24,1,0,28,NA,0
1,18,59,1,0,0.48,23,18,1,1,18,NA,0
0,23,39,1,1,-1.07,23,27,1,1,27,NA,0
1,13,48,0,0,2.21,24,13,1,0,24,NA,0
1,34,46,1,0,-0.01,30,34,1,0,30,NA,0
0,28,57,1,0,-1.08,28,28,1,0,28,NA,0
0,35,41,0,0,-0.86,35,36,1,1,36,NA,0
0,27,47,1,0,1.2,27,22,1,0,27,NA,0
1,28,49,1,0,0.28,32,28,1,0,32,NA,0
1,27,44,1,1,1.27,29,27,1,0,29,NA,0
0,14,58,0,0,-0.17,14,12,1,1,12,NA,0
1,18,62,0,0,-0.75,20,18,1,0,20,NA,0
1,29,49,0,0,-0.29,32,29,1,0,32,NA,0
1,27,58,1,0,0.41,33,27,1,0,33,NA,0
1,10,61,0,0,-0.18,10,10,1,0,10,NA,0
0,38,38,1,1,-0.77,38,39,1,1,39,NA,0
1,25,50,1,0,0.48,30,25,1,0,30,NA,0
1,25,40,1,0,-1.22,28,25,1,1,25,NA,0
0,18,34,0,1,-0.1,18,17,1,1,17,NA,0
1,25,41,0,0,-1.5,21,25,1,1,25,NA,0
1,29,43,1,1,-0.16,28,29,1,0,28,NA,0
1,18,49,0,0,-0.3,22,18,1,1,18,NA,0
0,8,45,0,0,-0.19,8,6,1,1,6,NA,0
1,21,60,0,1,-1.43,18,21,1,1,21,NA,0
0,27,32,1,0,0.91,27,22,1,0,27,NA,0
1,23,42,0,1,-2.15,20,23,1,1,23,NA,0
1,25,74,1,1,-0.83,24,25,1,0,24,NA,0
0,34,22,0,1,-0.92,34,35,1,1,35,NA,0
0,24,76,1,1,-1.63,24,28,1,1,28,NA,0
0,28,52,1,0,0.49,28,28,1,0,28,NA,0
1,42,42,0,0,-1.58,39,42,1,1,42,NA,0
0,21,48,0,1,-0.37,21,22,1,1,22,NA,0
0,29,52,1,1,-0.56,29,29,1,0,29,NA,0
0,30,36,0,0,-0.65,30,29,1,0,30,NA,0
1,16,70,0,0,-0.3,15,16,1,0,15,NA,0
0,33,69,1,1,-0.05,33,33,1,1,33,NA,0
0,33,43,1,0,0.38,33,31,1,1,31,NA,0
1,27,43,1,0,0.48,29,27,1,0,29,NA,0
1,21,55,0,1,-1.86,17,21,1,1,21,NA,0
1,20,21,0,0,-0.67,20,20,1,0,20,NA,0
1,16,57,0,0,-1.1,15,16,1,1,16,NA,0
0,16,66,0,0,-0.57,16,10,1,1,10,NA,0
0,17,51,0,0,-0.05,17,14,1,0,17,NA,0
1,15,48,1,1,0.8,21,15,1,0,21,NA,0
1,5,61,1,1,-0.85,4,5,1,1,5,NA,0
1,12,56,1,1,0.13,18,12,1,1,12,NA,0
0,45,60,1,0,0.12,45,42,1,1,42,NA,0
0,20,70,0,0,0.77,20,17,1,0,20,NA,0
0,12,64,0,0,-1.16,12,13,1,0,12,NA,0
0,27,60,1,0,0.19,27,24,1,1,24,NA,0
0,18,62,0,0,-0.59,18,22,1,1,22,NA,0
0,27,70,1,0,-0.16,27,24,1,1,24,NA,0
0,22,39,1,0,-0.81,22,21,1,1,21,NA,0
1,26,42,1,0,0.28,27,26,1,1,26,NA,0
0,19,49,1,1,0.18,19,18,1,0,19,NA,0
0,33,53,1,1,0.82,33,32,1,0,33,NA,0
1,3,75,0,0,0.7,9,3,1,1,3,NA,0
1,24,63,1,1,0.8,27,24,1,1,24,NA,0
1,29,36,1,0,1.19,36,29,1,0,36,NA,0
1,16,43,1,1,2.1,19,16,1,0,19,NA,0
1,18,56,1,0,-1.63,19,18,1,1,18,NA,0
0,20,49,1,0,0,20,14,1,1,14,NA,0
0,9,74,0,0,0.22,9,11,1,0,9,NA,0
0,7,79,0,1,1.12,7,4,1,0,7,NA,0
0,21,46,0,1,-0.53,21,22,1,1,22,NA,0
1,32,32,0,0,-0.35,31,32,1,1,32,NA,0
1,20,54,0,1,0.14,19,20,1,0,19,NA,0
1,16,54,0,1,-1.32,16,16,1,1,16,NA,0
0,27,32,0,0,0.86,27,22,1,0,27,NA,0
0,16,51,0,1,0.18,16,13,1,0,16,NA,0
0,0,58,0,0,0.86,0,1,1,0,0,NA,0
0,23,53,1,0,0.55,23,20,1,0,23,NA,0
1,24,32,0,1,-1.75,15,24,1,0,15,NA,0
0,17,55,0,0,1.41,17,11,1,0,17,NA,0
0,30,41,1,0,-0.37,30,30,1,0,30,NA,0
1,19,57,0,0,-1.04,20,19,1,1,19,NA,0
1,26,42,1,0,0.23,29,26,1,1,26,NA,0
0,36,38,1,0,-0.78,36,36,1,0,36,NA,0
1,23,51,0,0,-0.63,24,23,1,1,23,NA,0
0,21,40,0,1,0.66,21,21,1,1,21,NA,0
0,18,53,0,0,-0.71,18,18,1,1,18,NA,0
1,20,45,0,1,0.55,23,20,1,0,23,NA,0
1,24,49,1,0,-1.01,24,24,1,0,24,NA,0
1,6,55,0,0,0.86,10,6,1,0,10,NA,0
0,34,36,1,1,1.77,34,30,1,0,34,NA,0
1,11,49,0,0,3.01,20,11,1,0,20,NA,0
0,21,40,0,1,0.33,21,19,1,1,19,NA,0
0,19,42,1,1,1.26,19,16,1,0,19,NA,0
1,33,40,0,0,0.69,34,33,1,0,34,NA,0
0,19,47,0,0,0.1,19,15,1,1,15,NA,0
0,22,61,1,0,-0.68,22,20,1,0,22,NA,0
0,48,28,1,1,0.74,48,47,1,0,48,NA,0
1,26,49,0,0,0.78,29,26,1,0,29,NA,0
1,21,48,0,1,-0.21,17,21,1,0,17,NA,0
1,12,55,0,0,0.86,17,12,1,0,17,NA,0
1,37,46,1,0,-1.36,34,37,1,1,37,NA,0
0,21,53,0,1,0.87,21,17,1,1,17,NA,0
1,15,48,0,0,-0.64,15,15,1,1,15,NA,0
1,27,39,0,0,-0.3,27,27,1,1,27,NA,0
0,28,60,1,1,-0.64,28,28,1,0,28,NA,0
1,12,67,1,0,-1.1,13,12,1,1,12,NA,0
1,9,72,0,1,0.81,9,9,1,1,9,NA,0
1,39,52,1,0,1.15,42,39,1,0,42,NA,0
1,22,31,1,0,0.5,24,22,1,1,22,NA,0
0,26,55,0,0,-1.1,26,29,1,1,29,NA,0
0,23,49,1,0,0.37,23,21,1,0,23,NA,0
0,20,53,0,1,1.88,20,15,1,0,20,NA,0
0,26,47,1,0,1.97,26,20,1,0,26,NA,0
0,25,54,0,1,0.39,25,27,1,1,27,NA,0
1,7,63,0,1,0.62,7,7,1,0,7,NA,0
0,15,50,0,0,0.65,15,9,1,0,15,NA,0
1,6,61,0,0,-0.28,10,6,1,0,10,NA,0
1,17,54,1,0,-0.07,19,17,1,0,19,NA,0
1,19,54,1,0,-0.52,22,19,1,0,22,NA,0
1,31,39,1,1,-0.63,30,31,1,1,31,NA,0
1,19,46,1,0,0.1,25,19,1,0,25,NA,0
1,15,61,0,1,1.05,17,15,1,0,17,NA,0
1,28,56,1,0,-0.13,29,28,1,1,28,NA,0
0,21,65,1,0,0.87,21,16,1,1,16,NA,0
1,33,33,1,0,-0.79,33,33,1,1,33,NA,0
0,38,29,1,0,0.22,38,33,1,1,33,NA,0
1,4,54,0,0,0.55,10,4,1,0,10,NA,0
0,22,52,0,0,0.21,22,21,1,1,21,NA,0
1,6,54,0,0,-0.22,7,6,1,0,7,NA,0
1,20,43,0,0,1.63,23,20,1,0,23,NA,0
0,24,53,0,1,0.3,24,22,1,0,24,NA,0
0,8,47,0,1,-0.06,8,9,1,1,9,NA,0
1,23,48,1,0,0.07,26,23,1,1,23,NA,0
1,24,43,1,0,0.36,25,24,1,0,25,NA,0
1,27,52,1,1,1.02,27,27,1,1,27,NA,0
1,24,55,1,0,0.27,29,24,1,1,24,NA,0
1,12,54,1,0,1.53,20,12,1,0,20,NA,0
1,19,42,1,1,0.83,21,19,1,0,21,NA,0
0,23,51,0,0,0.56,23,19,1,1,19,NA,0
1,24,50,1,1,-1.07,23,24,1,1,24,NA,0
1,32,33,0,0,-0.37,34,32,1,0,34,NA,0
1,28,35,1,0,-0.56,31,28,1,1,28,NA,0
0,17,43,0,1,-0.43,17,19,1,0,17,NA,0
1,30,27,0,0,-0.48,29,30,1,1,30,NA,0
0,17,49,1,0,-0.14,17,19,1,1,19,NA,0
1,17,44,0,0,-0.06,20,17,1,1,17,NA,0
1,26,60,1,1,-0.61,26,26,1,1,26,NA,0
1,14,58,0,1,1.07,17,14,1,0,17,NA,0
1,7,53,0,0,-0.77,9,7,1,0,9,NA,0
1,15,54,1,0,1.47,20,15,1,0,20,NA,0
1,37,45,1,0,0.61,42,37,1,0,42,NA,0
0,7,73,0,0,1.78,7,5,1,0,7,NA,0
1,15,53,0,0,-0.68,17,15,1,1,15,NA,0
0,31,20,1,0,1.19,31,28,1,0,31,NA,0
1,11,54,0,0,1.68,15,11,1,0,15,NA,0
0,46,39,1,0,1.16,46,41,1,0,46,NA,0
1,8,46,0,0,0.22,11,8,1,0,11,NA,0
0,24,35,0,0,-1.84,24,24,1,1,24,NA,0
1,31,38,1,0,-0.59,30,31,1,1,31,NA,0
1,33,30,1,0,-0.72,33,33,1,0,33,NA,0
1,21,48,0,1,1.25,23,21,1,0,23,NA,0
1,18,41,1,0,0.83,20,18,1,0,20,NA,0
1,12,56,0,1,-0.84,10,12,1,1,12,NA,0
0,37,57,1,0,-1.39,37,39,1,0,37,NA,0
1,17,48,1,0,-0.5,21,17,1,1,17,NA,0
0,7,53,0,0,0.59,7,2,1,0,7,NA,0
1,33,45,1,0,-0.49,35,33,1,0,35,NA,0
0,17,63,0,0,-0.23,17,14,1,1,14,NA,0
1,18,23,0,0,0.65,22,18,1,0,22,NA,0
1,32,41,1,0,-0.44,31,32,1,1,32,NA,0
1,23,57,1,0,-0.77,23,23,1,1,23,NA,0
1,12,45,0,1,0.2,12,12,1,0,12,NA,0
0,40,34,1,0,-1.57,40,38,1,1,38,NA,0
1,31,55,1,0,-0.98,34,31,1,1,31,NA,0
1,21,59,1,0,-1.44,20,21,1,1,21,NA,0
1,24,49,0,1,2.19,26,24,1,0,26,NA,0
1,7,58,1,0,-0.98,12,7,1,0,12,NA,0
1,26,53,1,1,-1.71,21,26,1,1,26,NA,0
0,30,60,1,0,1.29,30,25,1,0,30,NA,0
1,20,43,1,0,0.09,24,20,1,1,20,NA,0
0,9,70,0,0,-1.01,9,10,1,1,10,NA,0
1,22,70,1,0,1.27,27,22,1,0,27,NA,0
0,29,41,1,0,0.33,29,28,1,0,29,NA,0
1,17,38,1,0,-0.83,17,17,1,1,17,NA,0
1,29,60,1,0,-0.43,35,29,1,0,35,NA,0
0,17,58,0,0,0.55,17,14,1,0,17,NA,0
0,27,66,1,0,-0.66,27,24,1,0,27,NA,0
1,12,64,1,0,0.12,18,12,1,1,12,NA,0
0,15,45,0,1,0.95,15,15,1,0,15,NA,0
0,16,73,0,0,-0.6,16,15,1,1,15,NA,0
0,29,43,0,0,0.94,29,26,1,0,29,NA,0
0,27,45,1,0,-1.36,27,26,1,1,26,NA,0
1,23,60,1,1,0.73,24,23,1,0,24,NA,0
1,23,35,0,0,-0.59,25,23,1,1,23,NA,0
1,22,41,1,0,1.89,27,22,1,0,27,NA,0
0,14,55,0,0,-0.79,14,13,1,0,14,NA,0
1,28,44,0,1,-0.83,23,28,1,1,28,NA,0
1,40,12,1,0,-1.04,36,40,1,0,36,NA,0
1,25,58,1,0,-0.84,27,25,1,1,25,NA,0
0,19,35,0,1,1.06,19,19,1,0,19,NA,0
1,24,46,0,0,-1.09,20,24,1,1,24,NA,0
0,31,33,0,0,0.42,31,28,1,0,31,NA,0
1,42,27,1,1,1.16,44,42,1,1,42,NA,0
1,16,32,0,0,0.57,19,16,1,0,19,NA,0
1,32,36,1,0,-0.18,36,32,1,1,32,NA,0
1,21,48,0,0,-0.99,19,21,1,1,21,NA,0
0,25,52,1,0,1.07,25,23,1,0,25,NA,0
0,20,39,0,0,-0.13,20,22,1,0,20,NA,0
0,16,55,0,0,-1.14,16,18,1,1,18,NA,0
1,33,48,1,1,-0.57,30,33,1,0,30,NA,0
0,23,52,0,1,1.22,23,18,1,0,23,NA,0
1,16,58,0,0,0.4,19,16,1,0,19,NA,0
0,8,71,0,0,1.37,8,7,1,1,7,NA,0
1,43,45,1,1,-0.24,42,43,1,1,43,NA,0
1,13,40,0,1,-1.95,9,13,1,1,13,NA,0
0,18,42,0,0,-0.87,18,19,1,1,19,NA,0
1,16,66,0,0,0.03,17,16,1,1,16,NA,0
0,17,60,0,0,-0.78,17,15,1,0,17,NA,0
0,30,52,1,0,-0.02,30,25,1,0,30,NA,0
0,15,70,0,0,-1.04,15,16,1,0,15,NA,0
0,18,55,1,0,1.22,18,16,1,0,18,NA,0
1,30,42,1,1,0.07,29,30,1,0,29,NA,0
1,14,63,0,0,0.33,15,14,1,0,15,NA,1
0,22,64,1,1,0.12,22,20,1,0,22,NA,0
1,15,49,0,1,-0.16,13,15,1,1,15,NA,0
1,29,45,0,0,0.67,30,29,1,1,29,NA,0
0,7,83,0,0,1.56,7,4,1,0,7,NA,0
0,14,74,0,0,-1.4,14,8,1,1,8,NA,0
0,4,56,0,0,-0.89,4,4,1,1,4,NA,0
1,30,48,1,0,-0.13,29,30,1,1,30,NA,0
0,15,26,1,0,-1.89,15,15,1,1,15,NA,0
0,46,22,1,1,-0.04,46,44,1,1,44,NA,0
0,14,51,0,1,-0.55,14,16,1,1,16,NA,0
1,16,71,1,0,-0.32,19,16,1,1,16,NA,0
0,17,70,1,0,-1.01,17,16,1,1,16,NA,0
1,43,20,1,1,-0.74,40,43,1,1,43,NA,0
1,20,36,0,0,-0.82,19,20,1,1,20,NA,0
0,26,45,1,0,-1.31,26,23,1,1,23,NA,0
0,34,46,1,1,0.5,34,36,1,0,34,NA,0
1,14,49,1,1,-0.02,17,14,1,1,14,NA,0
0,27,39,1,0,0.86,27,26,1,0,27,NA,0
1,16,49,1,0,0.36,23,16,1,0,23,NA,0
0,1,69,0,0,-0.15,1,1,1,1,1,NA,0
1,14,48,0,0,0.13,15,14,1,1,14,NA,0
1,0,68,0,0,1.04,7,0,1,0,7,NA,0
0,27,51,0,1,0.92,27,22,1,0,27,NA,0
1,23,44,1,0,-0.13,23,23,1,0,23,NA,0
1,13,46,1,1,0.56,12,13,1,0,12,NA,0
1,24,51,1,0,-0.23,23,24,1,0,23,NA,0
1,11,50,0,0,-0.35,12,11,1,1,11,NA,0
1,20,39,1,0,-0.79,23,20,1,0,23,NA,0
0,13,53,0,0,-1.22,13,18,1,1,18,NA,0
0,24,16,1,0,0.9,24,22,1,1,22,NA,0
1,38,64,1,0,-1.74,34,38,1,0,34,NA,0
1,23,57,1,0,-0.15,24,23,1,0,24,3,0
0,30,41,0,0,0.43,30,30,1,0,30,NA,0
0,19,66,0,0,-0.16,19,16,1,1,16,NA,0
0,25,57,1,0,-0.11,25,20,1,1,20,NA,0
1,17,58,1,0,0.66,25,17,1,0,25,NA,0
0,28,59,1,0,-0.2,28,27,1,0,28,NA,0
1,7,61,0,1,-0.04,7,7,1,1,7,NA,0
0,29,43,1,0,-0.19,29,26,1,1,26,NA,0
0,17,39,1,0,0.27,17,14,1,0,17,NA,0
0,12,51,1,0,-0.48,12,9,1,0,12,NA,0
1,35,34,1,0,0.13,36,35,1,0,36,NA,0
0,14,65,0,1,1.81,14,7,1,0,14,NA,0
0,40,43,0,0,0.28,40,41,1,1,41,NA,0
0,17,40,0,1,2.26,17,14,1,0,17,NA,0
0,37,50,1,0,-0.23,37,33,1,1,33,NA,0
1,30,51,1,0,-0.3,32,30,1,0,32,NA,0
1,19,46,1,1,-0.28,19,19,1,1,19,NA,0
1,5,57,0,1,1.43,9,5,1,1,5,NA,0
0,22,53,0,1,1.56,22,17,1,1,17,NA,0
1,20,37,0,0,1.27,21,20,1,0,21,NA,0
1,13,41,0,1,0.25,15,13,1,0,15,NA,0
0,18,65,1,0,1.12,18,14,1,1,14,NA,0
1,27,33,1,1,1.42,28,27,1,1,27,NA,0
0,15,42,0,0,0.32,15,11,1,1,11,NA,0
1,17,54,1,0,0.01,24,17,1,0,24,NA,0
0,28,57,1,0,-0.14,28,27,1,0,28,NA,0
0,34,52,1,0,0.87,34,28,1,0,34,NA,0
0,28,56,1,0,-1.55,28,28,1,1,28,NA,0
1,29,53,1,0,0.75,32,29,1,0,32,NA,0
0,28,39,0,1,0.2,28,29,1,0,28,NA,0
1,20,60,0,1,-0.12,20,20,1,0,20,NA,0
1,23,56,1,0,0.85,25,23,1,0,25,NA,0
0,29,46,1,0,-0.49,29,24,1,1,24,NA,0
0,21,52,0,0,0.55,21,19,1,0,21,NA,0
0,27,33,0,0,1.39,27,21,1,1,21,NA,0
0,5,67,0,1,1.55,5,4,1,1,4,NA,0
0,25,43,0,0,-1.85,25,24,1,1,24,NA,0
1,34,52,0,1,-0.49,32,34,1,1,34,NA,0
1,16,56,0,1,0.03,18,16,1,0,18,NA,0
0,16,61,1,0,0.95,16,10,1,0,16,NA,0
0,15,56,1,0,-0.32,15,15,1,1,15,NA,1
1,18,47,1,0,0.49,21,18,1,1,18,NA,0
0,4,58,0,0,-0.73,4,3,1,1,3,NA,0
1,19,45,1,0,1.18,24,19,1,0,24,NA,0
1,18,41,1,0,-1.52,22,18,1,1,18,NA,0
1,16,51,0,0,1.03,19,16,1,0,19,NA,0
0,24,60,1,1,0.91,24,21,1,0,24,NA,0
0,29,66,1,0,-0.25,29,28,1,0,29,NA,0
0,24,42,1,0,-0.64,24,25,1,0,24,NA,0
0,25,59,0,0,0.15,25,27,1,1,27,NA,0
1,23,48,0,0,0.91,26,23,1,0,26,NA,0
0,10,59,0,0,-1.54,10,14,1,1,14,NA,0
1,22,38,1,0,0.48,24,22,1,1,22,NA,0
0,28,62,0,0,0.13,28,30,1,0,28,NA,1
0,18,80,1,0,0.25,18,15,1,0,18,NA,0
1,29,44,0,0,-0.28,31,29,1,0,31,NA,0
1,15,52,0,0,0.68,20,15,1,0,20,NA,0
1,19,65,1,0,-2.23,21,19,1,1,19,NA,0
0,17,57,0,0,-0.5,17,15,1,0,17,NA,0
1,16,71,0,0,-0.06,15,16,1,1,16,NA,0
0,27,45,0,0,-1.18,27,31,1,1,31,NA,0
1,31,60,1,1,1.1,32,31,1,0,32,NA,0
0,37,35,1,0,0.42,37,34,1,1,34,NA,0
0,29,53,1,0,-1.75,29,27,1,1,27,NA,0
1,23,30,1,0,0.67,28,23,1,0,28,NA,0
1,27,67,1,0,0.37,26,27,1,1,27,NA,0
1,9,35,0,0,0.1,13,9,1,1,9,NA,0
1,20,56,0,1,1.49,21,20,1,0,21,NA,0
1,23,63,1,0,0.18,22,23,1,0,22,NA,0
0,26,35,1,0,-1.59,26,30,1,0,26,NA,0
1,8,53,0,0,-0.37,9,8,1,0,9,NA,0
0,36,26,1,1,-1.51,36,42,1,1,42,NA,0
0,23,45,0,0,-1.18,23,22,1,1,22,NA,0
0,24,62,1,0,1.42,24,19,1,1,19,NA,0
0,24,51,0,0,-0.46,24,21,1,0,24,NA,0
1,11,62,0,0,1.4,18,11,1,0,18,NA,0
0,19,37,1,1,0.33,19,19,1,1,19,NA,0
0,26,47,1,1,0.4,26,27,1,0,26,NA,0
1,28,54,0,0,0.54,28,28,1,0,28,NA,0
1,23,50,1,0,0.95,25,23,1,0,25,NA,0
0,25,56,1,0,0.16,25,26,1,0,25,NA,0
0,30,60,1,1,-1.1,30,33,1,1,33,NA,0
0,22,58,0,0,1.18,22,16,1,1,16,NA,0
0,12,51,0,1,0.03,12,12,1,0,12,NA,0
1,33,43,0,0,0.74,31,33,1,1,33,NA,0
1,17,63,1,0,1.48,24,17,1,1,17,NA,0
0,10,68,0,0,-0.11,10,9,1,1,9,NA,0
0,21,51,1,0,-0.83,21,24,1,1,24,NA,1
1,1,50,0,0,0.48,5,1,1,1,1,NA,0
0,24,38,0,0,-0.1,24,21,1,1,21,NA,0
0,22,55,0,1,0.25,22,22,1,1,22,NA,0
1,23,51,1,1,1.69,28,23,1,0,28,NA,0
0,22,54,1,1,0.74,22,19,1,0,22,NA,0
0,32,69,1,0,-1.29,32,31,1,1,31,NA,0
1,10,47,1,0,0.5,15,10,1,0,15,NA,0
1,27,41,1,0,0.41,25,27,1,0,25,NA,0
1,38,49,1,1,-0.87,37,38,1,1,38,NA,0
1,19,50,1,0,0.42,24,19,1,1,19,NA,0
0,17,46,1,0,1.22,17,18,1,0,17,NA,1
0,13,43,0,0,-0.74,13,14,1,1,14,NA,0
