income,program,test
82.61,standard,86.85
69.87,standard,56.67
71.06,standard,68.22
79.13,writing,60.66
86.41,standard,79.12
91.25,reading,77.36
88.34,writing,71.41
77.13,reading,52.87
83.73,writing,63.38
84.03,writing,69.46
69.58,writing,39.9
62.72,writing,50.19
86.42,reading,58.58
56.71,standard,48.82
80.02,writing,61.07
82.5,writing,70.97
85.64,reading,66.58
81.89,writing,64.4
72.67,reading,56.16
89.86,writing,67.73
97.39,reading,76.41
88.81,writing,76.7
60.56,writing,45.98
94,reading,67.62
71.44,standard,66.63
77.25,standard,62.36
86.22,writing,65.23
79.03,writing,67.09
79.25,reading,47.99
90.19,writing,63.3
87.12,reading,73.62
89.9,writing,67.83
103.83,writing,92.05
78.64,standard,69.8
82.07,reading,64.21
49.89,standard,45.96
106.92,reading,83.66
75.17,writing,55.65
103.75,writing,83.67
75.75,standard,81.83
95.38,reading,76.02
78.9,writing,63.27
85.11,reading,63.41
82.14,reading,60.93
70.14,standard,69.03
78.8,reading,57.1
90.13,writing,72.23
77.99,writing,61.87
51.62,standard,41.46
70.04,standard,71.84
85.4,writing,60.26
78.16,standard,80.22
86.17,reading,64.41
63.08,reading,49.86
75.69,standard,57.69
89.68,reading,74.46
92.77,reading,77.15
69.75,standard,55.39
68.78,standard,56.94
86.88,standard,79.85
55.32,standard,53.04
67.63,standard,55.8
76.57,standard,67.45
63.82,writing,53.68
82.8,writing,59.16
98.78,writing,85.52
71.96,standard,66.2
77.22,reading,51.69
84.75,writing,63.41
77.21,writing,63.13
80.13,standard,73.38
89.04,writing,78.17
80.03,reading,57.02
68.23,writing,41.66
66.82,reading,52.06
66.07,standard,55.03
87.97,reading,68.58
60.42,writing,51.01
61.14,writing,41.88
65.46,standard,65.21
75.94,standard,62.46
70.86,writing,57.49
80.87,standard,74.1
83.33,writing,61.65
78.29,writing,53.89
88.19,writing,70.57
83.88,writing,67.16
67.54,standard,60.93
82.31,reading,65
86.48,reading,64.17
83.56,writing,63
73.42,reading,54.6
80.55,standard,69.84
91.53,reading,77.63
82.76,reading,63.63
73.44,standard,62.36
79.24,reading,50.21
93.61,standard,82.4
74.76,standard,76.99
78.42,writing,57.61
54.92,reading,30.74
64.35,reading,47.61
79.22,reading,61.43
82.06,writing,67.82
74.77,standard,65.38
88.22,writing,75.83
78.06,reading,52.2
92.15,writing,73.9
62.78,standard,51.26
59.92,standard,55.32
59.71,standard,52.36
87.42,reading,72.97
79.17,reading,69.46
87.9,reading,68.6
77.32,reading,54.65
66.08,standard,53.96
68.32,standard,59
61.47,writing,43.13
68.3,writing,60.26
65.58,writing,41.93
90.54,writing,67.08
66.03,standard,55.99
87.89,reading,70.83
95.16,writing,81.27
70.08,standard,57.54
82.84,reading,63.47
62.49,writing,44.27
71.81,reading,57.79
72.56,standard,70.01
82.99,reading,61.43
64.41,standard,56.64
106.85,reading,90.11
75.42,reading,47.15
72.64,standard,63.09
86.5,writing,71.37
79.74,writing,59.12
73.56,reading,53.26
90.45,writing,72.35
96.16,writing,74.54
79.7,writing,56.73
85.62,writing,66.62
71.03,standard,61.29
90.16,writing,76.34
60.44,standard,60.09
103.21,reading,83.15
73.96,reading,55.96
57.41,standard,49.06
76.49,reading,59.5
81.47,writing,64.56
96.24,reading,77.42
89.11,writing,76.68
73.42,standard,60.49
58.11,standard,57.34
71.34,writing,55.09
78.37,reading,59.27
97.53,standard,86.73
61.4,reading,40.58
83.31,standard,77.18
74.73,reading,44.41
96.66,writing,75.65
68.61,writing,53.54
73.44,standard,63.96
61,standard,49
89.04,reading,65.86
94.84,reading,76.02
99.51,reading,71.33
79.98,standard,76.33
98.43,reading,67.59
92.46,reading,69.95
78.68,writing,56.75
84.77,reading,58.53
70.28,writing,46.89
70.15,standard,63.4
92.21,writing,73.61
85.41,writing,65.91
76.57,standard,56.97
69.62,reading,43
73.95,reading,53.3
72.35,reading,47.96
83.95,writing,61.97
70.09,reading,55.34
85.62,writing,68.5
68.84,writing,45.62
90.29,standard,79.94
84.61,reading,63.18
64.99,standard,53.59
82.41,writing,59.59
68.48,standard,60.22
83.71,writing,69.42
74.44,standard,67.57
69.86,reading,48.86
72.09,reading,54.03
83,reading,66.97
88.39,standard,79.69
90.85,writing,75.13
65.75,standard,52.03
88.26,reading,67.01
79.51,reading,57.41
75.01,standard,67.99
82.6,writing,66.39
97.75,standard,89.14
60.15,standard,48.32
73.01,standard,60.36
62.2,reading,43.59
77.9,standard,76.68
82.97,standard,71.03
86.46,standard,76.53
52.75,standard,46.4
76.13,standard,65.35
87.93,standard,80.54
67.86,standard,59.62
69.88,standard,58
71.63,standard,67.79
75.65,standard,71.88
86.65,reading,71.77
93.18,reading,79.52
79.05,reading,56.51
81.96,reading,59.64
104.88,writing,88.19
76.31,standard,71.46
73.89,standard,64.19
66.58,writing,46.46
80.03,reading,56.94
69.79,standard,69.2
71.89,standard,51.35
66.25,standard,57.41
73.13,writing,55.32
64.79,standard,51.49
69.85,standard,63.78
93.68,writing,65.85
90.49,reading,75.27
68.4,standard,52.08
63.14,reading,32.13
71.55,writing,49.74
75.42,reading,56.23
81.04,writing,59.78
65.37,standard,54.58
92.07,standard,85.73
77.28,writing,53.98
59.86,standard,51.43
78.59,reading,61.08
61.95,standard,62.12
81.56,writing,65.96
82.34,reading,70.91
83.56,writing,67.82
63.78,reading,43.77
74.21,standard,54.92
75.1,standard,60.98
65.79,writing,46.19
89.55,writing,75.12
87.84,reading,66.23
103,reading,85.71
81.57,writing,58.25
80.47,reading,59.1
80.97,reading,62.05
80.7,reading,58.9
53.52,standard,46.08
55.29,standard,43.93
79.22,writing,63.1
66.19,standard,57.78
80.55,reading,60.31
58.89,reading,29.14
65.01,writing,43.64
68.99,writing,43.54
89.86,reading,61.83
61.02,standard,50.55
72,reading,51.2
72.8,standard,66.22
76.77,writing,64.23
73.46,standard,67.69
103.05,writing,90.11
68.75,reading,46.12
76.95,writing,57.41
74.83,writing,62.26
95.12,writing,77.13
72.31,writing,45.9
79.18,writing,56.95
87.87,reading,72.91
69.41,reading,46.36
96.55,reading,78.22
86.76,writing,68.83
61.26,standard,50.78
76.55,standard,66.79
69.87,standard,63.83
83.13,writing,66.18
71.1,standard,69.27
90.71,writing,71.71
58.49,standard,45.87
74.77,writing,57.6
77.51,reading,61.03
70.04,writing,63.45
61.6,standard,51.28
71.82,standard,62.19
78.68,reading,63.09
54.51,writing,42.91
82.41,standard,71.11
82.5,writing,67.82
96.16,standard,85.34
86.85,reading,62.04
75.53,reading,58.65
107.97,writing,90.51
108.32,reading,90.27
67.81,writing,46.91
84.69,writing,75.67
69.89,standard,65.21
81.87,reading,60
82.28,writing,67.79
59.38,standard,45.31
74.86,standard,66.17
97.49,reading,84.51
78.36,reading,57.41
70.37,standard,66.92
85.99,standard,76.88
88.98,reading,57.49
63.52,writing,41.11
82.29,writing,65.4
96.54,reading,83.77
94.15,reading,71.19
84.2,reading,65.58
87.21,writing,64.39
68.03,writing,44.95
75,standard,63.11
70.46,writing,59.3
75.42,reading,60.12
81.36,standard,76.32
68.63,reading,54.21
82.67,reading,60.55
84.28,reading,68.08
80.55,writing,63.6
98.22,reading,72.98
61.78,standard,49.62
86.06,writing,68.31
79.11,writing,62.14
77.39,reading,55.78
84.64,writing,61.66
69.8,writing,41.34
66.87,reading,48.99
75.06,reading,53.58
97.52,reading,80.26
72.56,standard,56.83
83.31,writing,59.05
70.1,standard,61.54
76.7,standard,61.64
70.48,writing,42.57
91.58,reading,75.5
77.85,standard,74.35
71.94,writing,48.79
80.55,writing,61.19
79.16,standard,65.49
85.58,writing,69.16
94.82,reading,74.67
73.87,reading,49.52
83.16,standard,71.29
90.37,writing,67.06
70.38,standard,64.56
70.24,reading,53.1
69.11,reading,50.99
76.58,standard,64.36
79.29,reading,50.36
97.79,reading,80.45
77.35,standard,68.47
68.28,standard,60.08
69.74,reading,54.91
74.18,writing,51.71
83.43,reading,69.15
75.49,reading,53.42
85.14,writing,63.58
76.66,reading,55.63
78.94,reading,60.89
64.69,standard,55.66
99.05,reading,74.55
83.33,writing,63.92
82.31,writing,51.6
63.08,writing,42.54
78.6,standard,72.88
61.76,standard,52.92
63.08,standard,58.53
81.18,standard,75.61
75.47,reading,58.7
54.52,standard,49.8
97.7,reading,69.01
48.23,standard,40.25
85.73,reading,73.88
90.17,writing,69.77
73.69,writing,57.95
84.44,writing,67.16
76.39,standard,71.18
82.41,standard,73.05
84.84,reading,61.6
77.55,reading,57.91
89.16,writing,72.2
88.01,reading,67.08
62.63,standard,54.79
65.99,reading,48.05
81.6,writing,59.72
77.26,reading,62.96
70.14,reading,61.15
80.84,writing,70.23
66.8,writing,46.53
73.61,standard,56.5
73.75,writing,56.02
89.57,writing,75.97
104.24,reading,88.14
70.84,writing,46.69
90.58,reading,65.01
88.25,reading,68.92
71.3,standard,66.43
75.46,writing,61.83
95.75,reading,79.84
59.95,writing,37.11
65.57,standard,51.01
57.63,standard,39.57
85.95,standard,80.48
78.09,reading,62.23
74.75,writing,58.43
111.84,reading,86.54
79.5,reading,67.34
67.56,standard,57.71
83,writing,73.89
56.32,standard,51.07
84.9,reading,70.85
71.04,standard,64.69
84.69,reading,64.36
70.18,writing,47.11
61.77,standard,50.98
73.07,writing,54.83
64.32,standard,57.73
92.99,writing,74.82
95.79,reading,74.9
78.43,reading,59.35
76.41,reading,53.79
76.71,writing,56.03
80.69,writing,55.41
72.97,standard,69.2
74.9,standard,67.14
64.53,standard,56.12
71.53,writing,49.83
91.97,writing,72.73
74.51,reading,49.08
75.03,standard,61.78
79.43,writing,51.84
70.42,writing,57.33
85.91,reading,66.54
81.73,writing,58.15
86,standard,83.82
81.17,reading,64.3
68.68,standard,64.4
82.78,reading,61.65
68.14,writing,48.03
71.64,writing,53.15
85.1,writing,69.13
76.67,writing,62.67
71.34,standard,71.29
78.85,writing,58.3
73.49,writing,50.42
51.81,standard,44.32
83.49,writing,80.6
87.62,reading,65.47
67.11,reading,52.84
86.82,standard,77.61
83.85,reading,61.46
93.42,writing,71.86
70.43,reading,49.37
81.67,reading,69.88
79,writing,62.51
87.69,writing,72.12
66.24,standard,62.44
71.9,standard,74.26
62.21,writing,48.09
72.22,reading,45.09
81.25,writing,58.08
72.94,writing,46.99
71.56,standard,49.32
67.32,standard,65.77
86.07,reading,63.6
91.68,reading,73.66
71.77,reading,57.68
76.93,writing,56.37
94.4,writing,75.72
58.01,writing,41.76
68.8,standard,61.93
100.65,reading,76.78
101.94,reading,85.59
81.57,writing,66.29
71.36,writing,51.92
73.65,standard,59.54
73.47,reading,56.64
94.53,reading,81.67
71.94,reading,58.84
83.73,reading,68.09
