income,program,test
17.4,writing,45.1
62.41,writing,88.25
25.83,reading,39.99
32.98,standard,56.13
36.37,reading,62.89
25.16,standard,53.54
35.17,writing,59.49
33.69,writing,58.08
27.85,reading,45.39
30.65,reading,44.06
29.66,standard,60.14
51.28,writing,66.18
22.59,writing,39.89
19.04,writing,44.18
30.38,writing,46.07
33.1,reading,50.35
34.37,writing,50.45
25.42,reading,48.52
19.37,reading,41.6
42.63,reading,64.74
26.5,standard,52.72
21.34,reading,44.13
27.64,reading,50.83
28.03,standard,42.18
41.1,writing,62.36
30.85,reading,51.41
37.54,reading,61.16
25.01,reading,39.07
32.14,reading,49.65
26.75,reading,41.38
30.95,reading,56.23
21.05,reading,47.44
16.89,standard,44.83
49.97,standard,67.86
36.01,reading,58.27
17.49,writing,45.24
23.89,standard,48.73
18.15,writing,37.31
51.99,writing,68.56
43.12,standard,63.8
27.35,standard,54.92
35.43,standard,57.27
25.86,standard,50.99
25.24,writing,53.71
22.11,reading,45.01
24.05,standard,54.88
46.51,reading,58
29.46,writing,50.06
31.19,reading,51.52
32.44,standard,59.33
42.32,reading,56.48
24.84,writing,50.87
20.07,standard,45.61
46.76,reading,68.08
25.59,standard,52.13
22.77,reading,42.19
17.64,writing,44.26
17.15,writing,42.39
24.26,standard,47.51
36.18,reading,61.38
41.1,reading,62.56
37.08,standard,64.42
26.36,standard,47.39
30.6,reading,58.5
22.95,standard,46.93
22.83,reading,47.07
38.85,reading,58.35
19.84,standard,42.45
49.55,reading,73.48
29.1,reading,41.17
32.15,writing,56.54
22.61,reading,44.58
24.26,writing,32.78
16.83,standard,42.67
28.17,writing,39.33
34.19,standard,61.49
33.24,writing,52.97
22.18,reading,38.71
22.11,reading,42.08
24.98,writing,53.84
44.96,writing,63.78
18.63,reading,41.42
28.21,reading,49.92
49.02,reading,63.13
28.99,standard,44.29
16.4,reading,26.44
23.35,writing,48.11
34.85,standard,58.68
26.24,writing,57.5
24.38,reading,47.25
26.56,writing,52.81
30.9,writing,59.58
45.99,standard,67.48
29.11,standard,55.66
40.81,writing,67.15
36.31,writing,65.15
28.86,writing,54.68
14.67,reading,36.78
24.79,writing,42.45
25.1,writing,50.75
30.47,standard,56.97
43,reading,66.17
52.93,standard,79.05
45.48,standard,68.47
28.67,reading,48.28
12.43,standard,39.87
26.11,reading,46.97
30.89,standard,50.74
38.45,reading,57
39.63,reading,53.03
36.84,reading,52.01
16.05,writing,37.32
38.5,writing,51.51
25.53,writing,39.09
31.75,reading,57.26
30.75,standard,51.86
34.28,writing,47.02
30.25,writing,51.68
13.33,standard,43.93
37.36,writing,62.68
33.86,reading,56.07
27.34,writing,55.26
31.18,reading,47.32
31.34,standard,58.99
32.21,reading,49.27
46.41,writing,68.41
27.81,standard,62.88
31.68,writing,58.53
41.68,standard,69.52
40.54,reading,55
41.45,standard,61.52
24.23,writing,57.65
50.02,standard,68.56
30.67,standard,55.74
48.67,reading,73.13
16.49,writing,43.58
30.21,standard,59.66
42.5,standard,65.68
22.85,reading,38.74
22.47,writing,42.94
20.61,reading,36.1
19.47,writing,44.61
25.63,reading,51.23
33.31,standard,67.95
9.86,writing,33.69
32.12,writing,49.75
42.37,standard,71.49
50.38,writing,76.9
43.01,reading,61.82
37.57,writing,51.78
12.73,writing,38.54
23.98,reading,49.63
26.48,standard,49
37.04,standard,63.72
28.94,reading,47.56
17.41,writing,42.83
46.84,standard,70.26
39.11,writing,59.39
32.37,reading,52.93
42.18,writing,62.76
16.61,writing,35.66
36.61,standard,59.03
24.77,reading,44.73
36.84,writing,59.87
29.39,standard,61.05
36.33,writing,51.54
43.36,standard,66.36
30.07,standard,57.23
40.18,writing,70.99
18.12,reading,40.25
22.78,writing,44.72
45.19,writing,65.65
33.77,standard,59.85
9.48,standard,38.42
16.36,standard,39.44
27.99,writing,50.81
38.66,standard,63.74
28.98,writing,54.63
36.24,standard,65.8
39.59,standard,64.99
46.71,reading,66.33
30.56,writing,59.53
29.48,standard,54.3
12.47,writing,42.36
30.99,writing,52.68
24.28,writing,49.35
20.26,standard,36.53
28.2,writing,49.64
40.15,standard,64.04
10.07,standard,30.28
25.73,writing,42.55
31.17,standard,59.91
21.07,reading,45.64
33.34,reading,46.85
34.11,writing,58.24
29.67,writing,46.11
5.34,standard,24.09
55.71,writing,80.34
27.95,writing,46.52
36.51,reading,61.48
32.74,writing,54.93
40.25,standard,66.93
38.18,reading,55.56
27.9,writing,44.15
33.78,writing,60.36
20.55,writing,43.74
38.57,reading,57.37
25.39,standard,49.74
54.17,reading,80.8
13.49,reading,30
25.36,standard,45.61
38.25,standard,59.16
35.1,writing,49.18
24.11,writing,50.2
20.03,reading,40.99
31.44,standard,56.48
29.86,reading,49.64
12.1,standard,33.55
30.35,writing,48.23
31.9,reading,56.16
31.75,standard,48.62
19.45,standard,45.65
34.76,writing,52.8
43.79,reading,65.2
34.56,reading,50.86
18.64,standard,40.03
25.64,writing,56.49
33.46,writing,58.8
23.53,reading,32.81
8.42,standard,33.06
38.84,standard,60.58
21.71,writing,38.02
24.26,standard,49.31
45.04,writing,67.69
22.26,writing,42.62
38.46,reading,68.32
17.39,standard,30.15
26.45,writing,52.65
29.26,writing,49.82
18.31,reading,41.6
23.65,reading,41.38
29.71,writing,48.74
36.71,reading,48.16
13.49,standard,36.45
26.5,writing,60.9
37.56,standard,66.51
24.61,standard,56.99
32.27,standard,60.85
34.92,reading,60.64
32.68,reading,57.19
36.53,standard,62.91
28.77,writing,47.86
25.86,standard,47.2
3.57,writing,17.56
29.07,reading,49.04
34.3,writing,60.8
35.35,writing,62.51
24.45,writing,46.92
47.8,writing,67.06
32.86,standard,73.32
31.26,reading,54.95
42.72,writing,71.83
22.82,standard,45.13
25.5,writing,47.31
53.97,standard,80.22
30.11,reading,58.49
46.34,reading,64.78
15.61,reading,39.88
28.09,standard,41.62
33.78,standard,55.25
33,standard,50.54
19.94,writing,47.51
30.19,standard,53.37
19.23,writing,39.27
37.13,standard,67.97
40.85,reading,66.43
7.75,reading,23.26
42.36,reading,64.5
17.59,writing,33.45
34.55,writing,54.17
36.6,reading,64.68
28,writing,57.25
23.55,writing,51.09
31.65,writing,50.8
34.39,reading,44.98
38.83,writing,54.95
9.48,writing,36.24
13.64,reading,32.18
44.3,reading,53.49
40.47,standard,63.57
34.35,writing,63.4
37.15,standard,64.37
39.17,writing,57.07
3.39,writing,17.66
41.1,standard,60.97
25.15,standard,49.32
32.31,standard,60.75
27.05,reading,37.35
38.72,writing,65.84
26.52,writing,48.54
35.19,standard,62.03
26.09,standard,41.83
19.07,writing,37.74
42.1,writing,61.86
37.41,writing,64.63
47.24,writing,74.38
30.65,standard,56.83
41.25,standard,73.27
49.75,writing,69.18
27.19,standard,56.25
16.77,writing,38.59
27.61,reading,44.27
27.86,writing,54.48
31.52,reading,58.42
47.12,standard,75.51
26.74,standard,48.19
33.73,reading,51.38
27.72,standard,58.61
30.2,standard,55.97
33.14,reading,57.29
43.28,standard,65.59
31.21,writing,59.52
37.13,writing,55.08
37.79,writing,62.92
39.15,writing,57.06
24.26,reading,31.94
46.27,reading,59.55
26.19,reading,46.87
28.94,reading,53.36
44.04,standard,59.28
42.94,writing,58.68
19.1,reading,47.92
21.27,writing,41.1
16.42,reading,38.95
31.82,reading,49.18
31.65,standard,54.16
33.64,writing,56.08
35.52,reading,55.58
23.98,writing,45.02
20.06,reading,37.71
40.27,writing,47.03
37.51,standard,70.85
14.91,standard,47.86
29.05,standard,47.54
21.04,reading,40.2
9.29,writing,38.17
31.5,reading,56.49
29.21,reading,55.59
29.03,writing,45.67
32.16,standard,69.05
38.82,writing,55.16
32.06,writing,57.83
23.84,writing,46.54
22.65,reading,40.63
28.68,standard,50.78
33.1,reading,48.14
19.6,reading,47.72
28.16,standard,52.6
39.67,reading,60.97
28.92,writing,51.97
23.02,standard,45.14
27.24,standard,45.57
41.15,standard,66.42
35.5,writing,47.03
42.37,writing,57.27
31.39,standard,50.01
34.1,reading,48.71
24.42,reading,44.95
36.05,writing,66.05
24.94,reading,37.36
15.79,standard,41.96
31.28,reading,55.78
49.46,standard,68.51
38.01,reading,57.75
41.65,standard,69.77
33.59,writing,54.31
23.91,standard,46.81
27.98,reading,49.52
27.27,writing,48.97
25.31,standard,46.53
37.04,standard,60.35
18.03,reading,47.44
38.66,reading,63.03
38.64,writing,56.07
18.01,standard,35.79
36.39,writing,56.6
54.3,standard,84.95
24.43,reading,45.89
38.45,standard,58.94
22.18,reading,46.59
41.11,standard,64.44
32.5,standard,50.89
46.52,reading,68.83
15.41,standard,47.03
29.49,reading,51.66
24.73,writing,47.69
28.03,reading,44.75
23.7,reading,46.55
21.66,standard,40.31
35.79,standard,51.52
19.12,standard,42.91
44.84,writing,66.67
18.14,standard,53.96
31.01,reading,44.93
35.33,writing,58.18
35.87,reading,59.89
26.98,writing,54.24
30.8,standard,54.74
39.61,standard,59.9
15.44,writing,37.11
22.18,standard,55.88
33.2,reading,55.62
25.55,reading,35.33
43.7,reading,70.82
36.73,writing,61.44
30.72,writing,52.55
14.92,reading,34.83
30.26,writing,51.51
26.84,reading,48.12
28.98,standard,50.46
18.18,reading,39.57
34.99,reading,50.33
19.61,standard,44.61
27.74,standard,57.27
33.81,standard,60.36
22.16,reading,47.33
35.83,reading,50.38
16.83,writing,39.11
1.9,writing,26.99
34.65,writing,51.31
38.41,writing,68.23
27.14,writing,43.97
35.04,writing,57.86
18.44,reading,39.2
28.73,reading,49.34
10.58,writing,31.53
41.81,writing,66.06
48.6,reading,63.44
