age,continent,stressBefore,stressAfter,group,treatment,stressDiff
19,africa,13,13,control,no,0
36.5,asia,10,8,control,no,-2
34.16666667,asia,12,13,control,no,1
46.08333333,northAmerica,13,10,control,no,-3
23.75,africa,11,11,control,no,0
32,asia,12,13,control,no,1
29.08333333,asia,12,12,control,no,0
25.66666667,asia,9,9,control,no,0
42,asia,10,11,control,no,1
29.5,southAmerica,11,12,control,no,1
64,southAmerica,10,13,control,no,3
63,asia,11,12,control,no,1
24.5,africa,10,11,control,no,1
58.75,northAmerica,9,9,control,no,0
25.25,asia,11,10,control,no,-1
44.58333333,northAmerica,9,8,control,no,-1
28.66666667,southAmerica,9,11,control,no,2
59.25,northAmerica,11,8,control,no,-3
57.25,northAmerica,10,8,control,no,-2
65.16666667,northAmerica,12,14,control,no,2
27.33333333,northAmerica,10,10,control,no,0
56.08333333,northAmerica,11,12,control,no,1
19.16666667,africa,9,8,control,no,-1
51,northAmerica,8,8,control,no,0
32.16666667,northAmerica,7,7,management,yes,0
23.25,africa,14,14,management,yes,0
42,europe,14,15,management,yes,1
28.41666667,southAmerica,5,8,management,yes,3
57.5,southAmerica,7,9,management,yes,2
62.83333333,europe,9,10,management,yes,1
40.16666667,europe,10,9,management,yes,-1
46.75,europe,13,15,management,yes,2
49,asia,12,12,management,yes,0
49.91666667,southAmerica,12,13,management,yes,1
26.66666667,asia,9,8,management,yes,-1
27.58333333,southAmerica,10,10,management,yes,0
48.33333333,europe,10,12,management,yes,2
35.83333333,northAmerica,11,11,management,yes,0
62.16666667,northAmerica,11,12,management,yes,1
46.75,europe,9,7,management,yes,-2
39.41666667,asia,11,15,management,yes,4
32.66666667,asia,11,13,management,yes,2
49.16666667,africa,13,11,management,yes,-2
48,africa,10,8,management,yes,-2
42.83333333,europe,11,12,management,yes,1
40.5,asia,10,11,management,yes,1
18.25,asia,8,8,management,yes,0
54.33333333,southAmerica,12,12,management,yes,0
44.25,asia,9,13,management,yes,4
22,asia,13,13,management,yes,0
47.66666667,southAmerica,11,10,management,yes,-1
47.33333333,europe,13,13,management,yes,0
47.41666667,asia,12,13,management,yes,1
62,southAmerica,10,10,management,yes,0
42.58333333,europe,8,10,management,yes,2
24.75,southAmerica,6,8,management,yes,2
55.5,europe,12,10,management,yes,-2
60.83333333,asia,11,11,management,yes,0
43.41666667,africa,14,12,management,yes,-2
20.25,southAmerica,7,12,management,yes,5
41.66666667,southAmerica,10,9,management,yes,-1
62.41666667,europe,9,9,management,yes,0
36.83333333,africa,9,8,management,yes,-1
36.66666667,africa,15,15,management,yes,0
32.25,southAmerica,10,12,management,yes,2
35.5,europe,9,8,management,yes,-1
36.41666667,europe,15,12,management,yes,-3
25.83333333,africa,8,10,management,yes,2
47,northAmerica,9,7,management,yes,-2
19.08333333,southAmerica,10,11,management,yes,1
30.16666667,southAmerica,13,13,management,yes,0
23.5,africa,13,15,management,yes,2
60.83333333,northAmerica,14,15,management,yes,1
65.33333333,europe,12,13,management,yes,1
24.16666667,southAmerica,9,10,management,yes,1
47.66666667,northAmerica,14,11,management,yes,-3
50.91666667,asia,8,6,management,yes,-2
47.66666667,southAmerica,13,15,management,yes,2
58,southAmerica,11,12,management,yes,1
54.91666667,southAmerica,8,10,management,yes,2
65.16666667,europe,10,11,management,yes,1
48.08333333,northAmerica,11,14,management,yes,3
21.66666667,southAmerica,11,15,management,yes,4
21.41666667,southAmerica,10,10,management,yes,0
32.08333333,asia,10,13,management,yes,3
54,southAmerica,11,14,management,yes,3
58.75,southAmerica,11,12,management,yes,1
31.5,asia,10,11,management,yes,1
66,europe,10,9,management,yes,-1
44.41666667,asia,9,7,management,yes,-2
65.66666667,europe,14,15,management,yes,1
29.41666667,northAmerica,10,12,management,yes,2
53.58333333,africa,11,12,management,yes,1
63.83333333,asia,11,10,management,yes,-1
54.75,asia,13,14,management,yes,1
52.33333333,northAmerica,9,12,management,yes,3
41.08333333,northAmerica,15,15,management,yes,0
19.75,africa,11,14,management,yes,3
53.25,southAmerica,11,10,management,yes,-1
63.08333333,asia,10,11,management,yes,1
44.16666667,europe,11,10,management,yes,-1
31.66666667,europe,9,10,management,yes,1
21.16666667,asia,12,15,management,yes,3
62.5,southAmerica,13,13,management,yes,0
22,asia,13,12,management,yes,-1
41.25,europe,10,10,management,yes,0
63.16666667,southAmerica,12,14,management,yes,2
51.08333333,africa,11,14,management,yes,3
32.16666667,asia,11,12,management,yes,1
27.58333333,northAmerica,8,11,management,yes,3
54.25,northAmerica,12,15,management,yes,3
62.25,asia,14,15,management,yes,1
54.41666667,asia,10,14,management,yes,4
56,europe,9,11,management,yes,2
58.91666667,asia,10,10,management,yes,0
37.08333333,asia,12,10,management,yes,-2
40.5,europe,10,13,management,yes,3
47,africa,12,14,management,yes,2
61,europe,14,15,management,yes,1
30.16666667,northAmerica,10,8,management,yes,-2
22.83333333,asia,11,12,management,yes,1
59.66666667,europe,12,12,management,yes,0
46.41666667,asia,11,12,management,yes,1
36.75,northAmerica,11,13,management,yes,2
